x,y
9.77863,42.2237
36.5565,149.392
87.6265,352.857
84.1175,339.856
70.7998,286.489
30.8712,126.676
13.6578,57.5815
72.7433,294.228
28.3387,116.15
55.5939,225.277
32.2501,131.67
28.258,116.112
57.1243,231.172
32.5212,132.784
15.6365,66.1165
21.1606,87.9031
85.2646,343.849
52.9275,214.451
76.3759,308.85
86.9257,350.849
89.2194,360.189
3.17235,15.3218
4.11113,19.7634
54.5819,221.507
52.6887,213.019
96.5469,389.695
68.0411,274.805
45.5954,185.326
28.981,119.535
65.5153,265.363
61.3465,248.162
71.2723,287.934
1.25676,8.4119
41.3762,168.261
8.49616,37.525
88.544,357.23
69.9986,282.873
72.8679,294.655
10.6901,45.8895
62.3522,252.739
81.2377,327.113
19.1034,78.8023
24.263,100.315
83.5999,337.604
13.7194,58.4701
41.4193,168.773
47.6824,193.363
16.8708,70.502
97.0964,391.315
84.5049,340.798
52.5244,212.909
51.3787,208.3
80.2756,324.098
28.56,117.158
12.302,52.4416
9.79261,43.1777
32.5407,133.251
37.9397,154.165
36.8561,151.157
43.7429,177.596
47.7116,194.147
43.2148,175.745
36.8177,149.788
15.3223,64.8758
61.5497,249.142
46.2693,188.267
90.3546,364.249
72.6026,293.166
29.3557,120.787
17.4986,73.5078
87.0026,350.667
44.1906,179.616
99.8897,402.456
71.6192,290.047
25.7079,105.09
86.9601,350.869
73.8164,298.632
82.8131,334.144
59.737,242.195
76.1406,306.999
33.916,138.179
76.9996,310.518
54.9095,222.729
82.7543,334.145
58.9558,238.916
93.7545,377.673
10.2002,43.7049
89.01,358.946
87.9566,355.248
31.4351,128.644
32.2818,132.456
40.1537,164.165
1.15122,7.54668
35.7834,146.143
88.4198,356.297
24.4755,100.688
24.9856,103.515
32.788,135.054
10.39,44.1955
54.0221,218.9
